SOUTH DINAJPUR,23.7894142,90.3501243,-35,D
BANKURA,23.132377,87.2081925,120,LE
BIRBHUM,24.0621532,87.6982823,-19,N
EAST MIDNAPORE,22.0521107,88.0712466,-21,D
HOOGHLY,22.9099402,88.0120825,-9,N
HOWRAH,22.5736296,88.3251045,20,E
JHARGRAM,22.4538505,86.9949477,24,E
KOLKATA,22.5726459,88.3638953,-15,N
MURSHIDABAD,24.1745993,88.2721335,-36,D
NADIA,23.4847374,88.5567067,-27,D
NORTH 24 PARGANAS,22.6926815,88.6625795,4,N
PASCHIM BARDHAMAN,23.6002978,87.3041301,15,N
PURBA BARDHAMAN,23.3884088,87.9606763,24,E
PURULIA,23.2020967,86.3228988,102,LE
SOUTH 24 PARGANAS,22.1776733,88.5307853,6,N
WEST MIDNAPORE,22.4207025,87.3269963,8,N
ANGUL,21.102538,84.9536825,9,N
BALASORE,21.5006421,86.919884,32,E
BARGARH,21.2319922,83.5652737,-17,N
BHADRAK,20.9854052,86.5934226,20,E
BOLANGIR,20.7502257,83.2499464,-12,N
CUTTACK,20.4686,85.8792,30,E
DEOGARH,24.4898318,86.6990182,53,E
DHENKANAL,20.8351494,85.6022305,30,E
GAJAPATI,19.1966026,84.1930634,-22,D
GANJAM,19.6090067,84.7080633,-8,N
JAGATSINGHPUR,20.2593872,86.1660878,69,LE
JAJPUR,20.8746788,86.1215393,-13,N
JHARSUGUDA,21.8019368,83.9713964,-29,D
KALAHANDI,19.8265756,83.0408702,0,N
KANDHAMAL,20.1306939,84.0790476,12,N
KENDRAPARA,20.5475164,86.5296168,48,E
KHURDA,25.1142028,79.5337096,12,N
KORAPUT,18.7232023,82.6100596,10,N
MALKANGIRI,18.2744685,81.9520316,-19,N
MAYURBHANJ,21.9156338,86.3961824,69,LE
NAWAPARA,22.9963806,75.0034406,-40,D
NAYAGARH,20.2393682,85.050728,11,N
PURI,19.8076083,85.8252538,-8,N
RAYAGADA,19.4426698,83.5873053,-2,N
SAMBALPUR,21.5570606,84.1528515,13,N
SONEPUR,25.7094769,85.1355218,56,E
SUNDARGARH,22.0605153,83.9359154,51,E
BOKARO,23.6991279,85.9910689,69,LE
CHATRA,24.1062316,84.8623379,134,LE
DEOGHAR,24.4898318,86.6990182,-29,D
DHANBAD,23.7952809,86.4309638,63,LE
DUMKA,24.2677937,87.2485495,29,E
GARHWA,24.053577,83.6526818,-8,N
GIRIDIH,24.3314546,86.1548117,13,N
GODDA,24.8645886,87.2984838,-30,D
GUMLA,23.1603759,84.4599565,63,LE
HAZARIBAG,23.9924352,85.3616252,57,E
JAMTARA,23.9801639,86.9243637,25,E
KHUNTI,22.9281801,85.2814475,88,LE
KODERMA,24.4931239,85.5560811,9,N
LATEHAR,23.6880057,84.4969551,189,LE
LOHARDAGA,23.4770044,84.6986684,103,LE
PAKUR,24.5325908,87.593232,-21,D
PALAMU,24.2212983,84.1725565,108,LE
RAMGARH,23.693479,85.5215989,147,LE
RANCHI,23.3700501,85.3250387,204,LE
SAHIBGANJ,25.0320437,87.691764,-13,N
SERAIKELA-KHARSAWAN,22.8232012,85.919732,146,LE
SIMDEGA,22.5904573,84.5464805,88,LE
ARARIA,26.2651013,87.3699437,-42,D
ARWAL,25.1812831,84.6596648,-46,D
AURANGABAD,19.877263,75.3390241,42,E
BANKA,24.8328273,86.8161114,-20,D
BEGUSARAI,25.5125411,86.0883392,-65,LD
BHABUA,25.0763482,83.6335978,-12,N
BHAGALPUR,25.2861354,87.1304229,-36,D
BHOJPUR,25.4501182,84.5635193,-66,LD
BUXAR,25.5044834,84.1097525,-18,N
DARBHANGA,26.0829899,86.0324951,-52,D
EAST CHAMPARAN,26.6393261,84.8990136,-67,LD
GAYA,24.6793889,85.0115833,55,E
GOPALGANJ,26.4211166,84.3739133,-53,D
JAHANABAD,32.781905,53.0164576,-27,D
JAMUI,24.7562513,86.3011128,20,E
KATIHAR,25.5586421,87.6457196,-38,D
KHAGARIA,25.4930513,86.6982264,-66,LD
KISHANGANJ,26.2984144,87.9466715,-26,D
LAKHISARAI,25.1543938,86.1744959,12,N
MADHEPURA,25.7806118,86.9364753,-75,LD
MADHUBANI,26.3503076,86.2296424,-56,D
MONGHYR,25.3773519,86.4731039,-24,D
MUZAFFARPUR,26.1482548,85.3316097,-78,LD
NALANDA,25.1364914,85.4436546,6,N
NAWADA,24.8173249,85.5179085,39,E
PATNA,25.6093239,85.1235252,-45,D
PURNEA,25.7773601,87.4731227,-56,D
ROHTAS,24.9394142,84.0197031,16,N
SAHARSA,25.8330757,86.6143751,-90,LD
SAMASTIPUR,25.7747884,85.8672314,-70,LD
SARAN,47.9514553,1.8749906,-67,LD
SHEIKHPURA,25.1250741,85.8160771,-23,D
SHEOHAR,26.4934234,85.2717561,-61,LD
SITAMARHI,26.5942841,85.500428,-77,LD
SIWAN,26.131008,84.3910745,-21,D
SUPAUL,26.2768089,86.7959614,-61,LD
VAISHALI,25.7491702,85.3972164,-56,D
WEST CHAMPARAN,27.0518367,84.3351209,-43,D
AMBEDKAR NAGAR,26.4045941,82.6065154,-73,LD
AMETHI,26.346274,81.6252039,-54,D
AYODHYA,26.7990707,82.2052321,-25,D
AZAMGARH,26.023639,83.0293105,-42,D
BAHRAICH,27.7343823,81.47654,-9,N
BALLIA,25.8749594,84.1210329,-73,LD
BALRAMPUR,27.4476988,82.3956245,64,LE
BANDA,25.4438537,80.5595237,14,N
BARABANKI,26.9421406,81.3856087,-43,D
BASTI,26.8387083,82.5350919,-27,D
